도로명,좌표X,좌표Y,시군구,아파트명
삼성로 14,127.068451024326,37.4861548149371,서울특별시 강남구 개포동,개포주공4단지
삼성로 14,127.068451024326,37.4861548149371,서울특별시 강남구 개포동,개포자이프레지던스
개포로 516,127.070871480537,37.4891406792843,서울특별시 강남구 개포동,개포주공6단지
개포로 516,127.070871480537,37.4891406792843,서울특별시 강남구 개포동,개포주공7단지
언주로 105,127.052677848982,37.4816823655211,서울특별시 강남구 개포동,개포현대200동
언주로 110,127.054710026842,37.4854059409863,서울특별시 강남구 개포동,경남1
언주로 110,127.054710026842,37.4854059409863,서울특별시 강남구 개포동,경남2차
논현로2길 61-4,127.05480461731,37.4748147158631,서울특별시 강남구 개포동,뉴현대파크빌
개포로28길 28,127.050322770307,37.4773029557679,서울특별시 강남구 개포동,리치타운
개포로109길 21,127.077191033018,37.4956264931259,서울특별시 강남구 개포동,삼익대청
논현로2길 36,127.053101764261,37.4732789109622,서울특별시 강남구 개포동,새롬
개포로109길 9,127.075101271591,37.4957518185981,서울특별시 강남구 개포동,성원대치2단지
언주로 21,127.0548097193745,37.48229847057715,서울특별시 강남구 개포동,시영
논현로2길 22,127.052383913866,37.4728114269133,서울특별시 강남구 개포동,아람손프라자/비바빌
선릉로8길 5,127.061290900611,37.4829145756332,서울특별시 강남구 개포동,에버그린
개포로 411,127.062319621466,37.4885748916117,서울특별시 강남구 개포동,우성8
개포로 311,127.056969855939,37.485038162571,서울특별시 강남구 개포동,우성9차
개포로 311,127.056969855939,37.485038162571,서울특별시 강남구 개포동,개포더샵트리에
개포로31길 9-9,127.048777724877,37.479517473746,서울특별시 강남구 개포동,우찬현대
개포로31길 9-5,127.049125065343,37.4795541811187,서울특별시 강남구 개포동,우찬현대
선릉로18길 12,127.060149178414,37.4843206455437,서울특별시 강남구 개포동,현대
개포로 303,127.054393140278,37.4832803381496,서울특별시 강남구 개포동,현대1차101동~106동
언주로 107,127.0519554575,37.4835863365345,서울특별시 강남구 개포동,현대2
개포로 409,127.061169470744,37.4883239313325,서울특별시 강남구 개포동,현대
봉은사로11길 12,127.029135069693,37.5067377896607,서울특별시 강남구 논현동,e-편한세상
강남대로112길 41,127.027654780001,37.5063234128444,서울특별시 강남구 논현동,거평프리젠
언주로116길 12,127.038181433942,37.5106666561173,서울특별시 강남구 논현동,경남논현
도산대로54길 48-8,127.038850938422,37.5196741327196,서울특별시 강남구 논현동,골든캐슬
학동로38길 22,127.034165335085,37.5135247001319,서울특별시 강남구 논현동,논현동월드메르디앙
논현로113길 5,127.032836328523,37.5081852743285,서울특별시 강남구 논현동,논현동프라임
논현로111길 39,127.030422971573,37.5068232406663,서울특별시 강남구 논현동,논현동한화꿈에그린
학동로46길 32,127.038773382335,37.5140744215046,서울특별시 강남구 논현동,논현라폴리움
학동로30길 21,127.03279727648,37.5127654513792,서울특별시 강남구 논현동,논현베르빌
선릉로137길 6,127.039926372565,37.5192663404778,서울특별시 강남구 논현동,논현빌라트
논현로124길 7,127.032261461131,37.5124594377267,서울특별시 강남구 논현동,논현아트빌
학동로43길 38,127.038022514319,37.518458048048,서울특별시 강남구 논현동,논현웰스톤
학동로 338,127.04016223452,37.5165402749359,서울특별시 강남구 논현동,논현파라곤
봉은사로11길 11,127.028404953937,37.5065882204399,서울특별시 강남구 논현동,논현프라임
도산대로50길 54,127.037505945479,37.518761220597,서울특별시 강남구 논현동,논현한가람빌라트
언주로116길 6,127.037183296518,37.5104798359114,서울특별시 강남구 논현동,동부센트레빌
언주로146길 18,127.037495479745,37.5202259846506,서울특별시 강남구 논현동,동현
학동로46길 38,127.038439089707,37.5133151646136,서울특별시 강남구 논현동,두산위브1단지
언주로122길 25,127.038440301401,37.5128106920375,서울특별시 강남구 논현동,두산위브2단지
논현로124길 8,127.032400576908,37.5121802685461,서울특별시 강남구 논현동,두영
학동로5길 17,127.022639691507,37.5129128966863,서울특별시 강남구 논현동,벨러스빌
학동로11길 13,127.024589540174,37.5131384786986,서울특별시 강남구 논현동,브라운스톤
학동로7길 6,127.023940649819,37.5124881771073,서울특별시 강남구 논현동,스위트캐슬레지던스
강남대로146길 28,127.023030453954,37.5150254952533,서울특별시 강남구 논현동,신동아
도산대로50길 43,127.037868657658,37.5197676154577,서울특별시 강남구 논현동,쌍용
언주로136길 21,127.03738750871,37.5178497131317,서울특별시 강남구 논현동,우민
강남대로120길 58,127.028053349725,37.5075545422443,서울특별시 강남구 논현동,우성
강남대로124길 51,127.02606756469,37.5102789146799,서울특별시 강남구 논현동,월드쉐르빌
논현로111길 34,127.030693549212,37.5072036650895,서울특별시 강남구 논현동,이산
봉은사로29길 26,127.034135447554,37.50924439754,서울특별시 강남구 논현동,이움빌라
강남대로136길 40,127.023660307349,37.5137322499574,서울특별시 강남구 논현동,지고하임
도산대로 232,127.032556608843,37.5203808900933,서울특별시 강남구 논현동,청학
봉은사로51길 40,127.042245419677,37.512646220574,서울특별시 강남구 논현동,케럿스테이트
선릉로137길 20,127.038730588683,37.5190353610388,서울특별시 강남구 논현동,케이씨빌
봉은사로29길 25,127.033823831592,37.5089590488939,서울특별시 강남구 논현동,토미빌
도산대로30길 56,127.030590117094,37.5162066170102,서울특별시 강남구 논현동,프라임
논현로124길 28,127.0338146219,37.5126127146173,서울특별시 강남구 논현동,학동
논현로140길 22,127.031333367899,37.5169662384778,서울특별시 강남구 논현동,한양빌라트
봉은사로29길 35,127.033566582089,37.5095984751871,서울특별시 강남구 논현동,한양수자인어반게이트
도산대로46길 21,127.037093416442,37.5208421273132,서울특별시 강남구 논현동,한진로즈힐
봉은사로21길 19,127.030820801273,37.5075128568603,서울특별시 강남구 논현동,한화꿈에그린2차
학동로42길 60,127.036777112119,37.5115859459644,서울특별시 강남구 논현동,현대넥서스A동
언주로 620,127.036352298064,37.5116193245266,서울특별시 강남구 논현동,현대인텔렉스
선릉로 120,127.057979748729,37.4915930435874,서울특별시 강남구 대치동,개포우성1
선릉로 120,127.057979748729,37.4915930435874,서울특별시 강남구 대치동,개포우성2
삼성로85길 42,127.053801125765,37.5045490585229,서울특별시 강남구 대치동,대우아이빌멤버스
선릉로90길 56,127.053831329394,37.5050311726932,서울특별시 강남구 대치동,대우아이빌명문가
삼성로51길 25,127.060999811122,37.4959078867351,서울특별시 강남구 대치동,대치SKVIEW
삼성로85길 38,127.054274484491,37.504618129293,서울특별시 강남구 대치동,대치동우정에쉐르1
테헤란로68길 15,127.052568441181,37.504321929464,서울특별시 강남구 대치동,대치동우정에쉐르2
영동대로 230,127.068471209933,37.5009601493207,서울특별시 강남구 대치동,대치우성
